Item,Serving Size,Calories,Calories From Fat,Total Fat (g),Total Fat % Daily Value,Saturated Fat (g),Saturated Fat % Daily Value,Trans Fat (g),Cholesterol (mg),Cholesterol % Daily Value,Sodium (mg),Sodium % Daily Value,Carbohydrates (g),Carbohydrates % Daily Value,Dietary Fiber (g),Dietary Fiber % Daily Value,Sugars (g),Protein (g),Vitamin A % Daily Value,Vitamin C % Daily Value,Calcium % Daily Value,Iron % Daily Value
Burgers & Sandwiches,,,,,,,,,,,,,,,,,,,,,,
Big Mac,7.4 oz(211 g),530,240,27,42,10,48,1,85,28,960,40,47,16,3,13,9,24,6,2,25,25
QuarterPounder® withCheese,7 oz(199 g),520,240,26,40,12,62,1.5,95,32,1110,46,42,14,3,11,10,29,10,4,30,25
Bacon ClubhouseBurger,9.4 oz(267 g),720,360,40,61,15,75,1.5,120,39,1470,61,52,17,3,14,14,38,15,25,30,25
Quarter PounderBacon HabaneroRanch,8.2 oz(233 g),610,280,31,48,13,64,1.5,110,37,1190,50,47,16,3,14,10,36,15,20,25,30
Quarter PounderBacon & Cheese,7.7 oz(217 g),600,260,29,45,13,63,1,105,36,1380,58,48,16,3,13,12,36,8,15,25,30
Quarter PounderDeluxe,8.4 oz(238 g),540,250,27,42,11,54,1.5,85,29,940,39,45,15,3,14,9,28,15,8,25,25
Double QuarterPounder withCheese,9.8 oz(277 g),740,380,42,65,19,96,2.5,165,55,1300,54,43,14,3,11,10,47,10,4,30,35
Hamburger,3.5 oz(98 g),240,70,8,12,3,15,0,30,10,480,20,32,11,1,6,6,12,2,2,10,15
Cheeseburger,4 oz(113 g),290,100,11,18,5,27,0.5,45,15,680,28,33,11,2,7,7,15,6,2,20,15
BBQ RanchBurger,4 oz(113 g),340,130,15,22,6,29,0.5,50,16,670,28,37,12,3,10,7,15,4,0,20,15
Grilled OnionCheddar,4 oz(113 g),300,110,13,20,6,29,0.5,45,16,640,27,32,11,2,7,6,15,2,2,20,15
DoubleCheeseburger,5.7 oz(161 g),430,190,21,32,10,52,1,90,30,1040,43,35,12,2,8,7,24,10,2,30,20
McDouble,5.2 oz(147 g),380,150,17,26,8,40,1,75,25,840,35,34,11,2,7,7,22,6,2,20,20
Jalapeño Double,5.6 oz(159 g),430,210,23,36,9,44,1,80,27,1030,43,35,12,2,7,6,22,6,8,20,20
Bacon McDouble,5.7 oz(161 g),440,200,22,34,10,49,1,90,30,1110,46,35,12,2,7,7,27,6,10,20,20
Daily Double,6.7 oz(190 g),430,200,22,35,9,44,1,80,27,760,32,34,11,2,8,7,22,8,8,20,20
Bacon ClubhouseCrispy ChickenSandwich,10 oz(284 g),750,340,38,59,10,51,0.5,90,31,1720,72,65,22,4,15,16,36,15,25,30,15
