Item,Serving Size,Calories,Calories From Fat,Total Fat (g),Total Fat % Daily Value,Saturated Fat (g),Saturated Fat % Daily Value,Trans Fat (g),Cholesterol (mg),Cholesterol % Daily Value,Sodium (mg),Sodium % Daily Value,Carbohydrates (g),Carbohydrates % Daily Value,Dietary Fiber (g),Dietary Fiber % Daily Value,Sugars (g),Protein (g),Vitamin A % Daily Value,Vitamin C % Daily Value,Calcium % Daily Value,Iron % Daily Value
CBO CheddarBacon OnionAngus ThirdPounder,9.6 oz(271 g),790,370,41,62,18,89,2,150,50,1830,76,62,21,4,16,11,45,6,2,30,35
Angus Bacon &Cheese,10.2 oz(291 g),790,350,39,60,17,87,2,145,49,2070,86,63,21,4,14,13,45,10,4,25,35
Angus Deluxe,11.1 oz(314 g),750,350,39,60,16,82,2,135,45,1700,71,61,20,4,16,10,40,15,8,25,35
Angus Mushroom& Swiss,10 oz(283 g),770,360,40,61,17,85,2,135,46,1170,49,59,20,4,16,8,44,8,0,40,35
Big Mac,7.6 oz(215 g),550,260,29,45,10,50,1.5,75,25,1000,42,46,15,3,13,9,25,6,2,25,25
QuarterPounder® withCheese,7.1 oz(202 g),520,240,26,40,12,61,1.5,90,31,1180,49,42,14,3,11,10,30,10,2,30,25
Double QuarterPounder® withCheese,10 oz(283 g),750,380,42,65,19,95,2.5,155,52,1360,57,42,14,3,11,10,48,10,2,30,35
Hamburger,3.5 oz(100 g),250,80,9,13,3.5,16,0.5,25,9,490,20,31,10,1,6,6,12,0,2,10,15
Cheeseburger,4 oz(115 g),300,110,12,19,6,28,0.5,40,13,720,30,33,11,2,7,7,15,6,2,20,15
DoubleCheeseburger,5.8 oz(165 g),440,200,23,35,11,54,1.5,80,26,1120,47,34,11,2,8,7,25,10,2,25,20
McDouble,5.3 oz(151 g),390,170,19,29,8,42,1,65,22,890,37,33,11,2,7,7,23,6,2,20,20
Daily Double,6.8 oz(194 g),440,220,24,37,9,47,1.5,70,23,810,34,33,11,2,8,7,23,8,6,20,20
Filet-O-Fish,5 oz(143 g),380,170,18,28,3.5,19,0,40,14,610,25,39,13,2,6,5,16,2,0,15,15
CBO CheddarBacon OnionCrispy PremiumChickenSandwich,8 oz(227 g),630,260,29,45,9,45,0.5,85,28,1630,68,61,20,4,16,13,32,6,2,30,20
CBO CheddarBacon OnionGrilled PremiumChickenSandwich,7.5 oz(214 g),480,140,16,25,7,36,0,100,34,1460,61,47,16,4,16,11,36,6,4,30,20
Premium CrispyChicken ClassicSandwich,7.5 oz(213 g),510,200,22,33,3.5,18,0,45,16,990,41,56,19,3,13,10,24,4,6,15,20
Premium GrilledChicken ClassicSandwich,7 oz(200 g),350,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Premium CrispyChicken ClubSandwich,8.4 oz(237 g),620,260,29,45,7,37,0,70,24,1200,50,57,19,3,14,11,31,8,6,30,20
Premium GrilledChicken ClubSandwich,7.9 oz(223 g),460,150,16,25,6,28,0,90,30,1030,43,43,14,3,13,9,35,8,8,30,20
Premium CrispyChicken RanchBLT Sandwich,7.6 oz(215 g),540,210,23,35,4.5,23,0,55,19,1170,49,56,19,3,13,11,27,4,6,15,20
Premium GrilledChicken RanchBLT Sandwich,7.1 oz(202 g),380,90,10,15,3,14,0,75,25,1000,42,42,14,3,13,9,31,4,8,15,20
McChicken,5 oz(143 g),360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Southern StyleCrispy ChickenSandwich,5.6 oz(159 g),420,170,19,28,3,15,0,45,14,900,38,43,14,2,7,7,21,2,2,15,15
Angus Bacon &Cheese SnackWrap,5.1 oz(145 g),390,190,21,33,9,47,1,75,25,1080,45,28,9,1,5,4,21,6,2,10,20
Angus DeluxeSnack Wrap,6 oz(170 g),410,220,25,38,10,49,1.5,75,25,990,41,27,9,2,6,3,20,8,4,10,20
Angus Mushroom& Swiss SnackWrap,5.7 oz(162 g),430,230,26,39,10,50,1.5,75,26,730,30,27,9,2,8,2,22,4,0,15,20
Chipotle BBQSnack Wrap®(Crispy),4.1 oz(117 g),330,140,15,23,4.5,22,0,30,10,720,30,34,11,1,5,4,14,4,2,10,10
Chipotle BBQSnack Wrap®(Grilled),4.2 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey MustardSnack Wrap®(Crispy),4.1 oz(116 g),330,140,15,24,4.5,22,0,30,10,700,29,33,11,1,5,4,14,2,2,10,10
Honey MustardSnack Wrap®(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,4,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.2 oz(118 g),350,170,19,29,5,26,0,35,11,750,31,31,10,1,5,2,14,2,2,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,15,700,29,25,8,1,5,2,16,2,2,10,10
Mac SnackWrap,4.4 oz(126 g),330,170,19,29,7,34,1,45,15,690,29,26,9,1,5,3,15,2,0,8,15
McRib,7.4 oz(209 g),500,240,26,40,10,48,0,70,23,980,41,44,15,3,10,11,22,2,2,15,20
Chicken,,,,,,,,,,,,,,,,,,,,,,
Spicy ChickenMcBites™Regular Size,4.5 oz(127 g),410,220,25,38,4.5,23,0,55,18,890,37,27,9,0,0,0,21,6,2,4,4
ChickenMcNuggets® (4piece),2.3 oz(65 g),190,110,12,18,2,10,0,25,9,360,15,12,4,1,2,0,9,0,2,0,2
Chicken Selects®Premium BreastStrips  (3 pc),4.4 oz(124 g),380,210,23,35,3.5,16,0,55,18,750,31,21,7,1,3,0,23,0,4,2,4
CBO CheddarBacon OnionCrispy PremiumChickenSandwich,8 oz(227 g),630,260,29,45,9,45,0.5,85,28,1630,68,61,20,4,16,13,32,6,2,30,20
CBO CheddarBacon OnionGrilled PremiumChickenSandwich,7.5 oz(214 g),480,140,16,25,7,36,0,100,34,1460,61,47,16,4,16,11,36,6,4,30,20
Premium CrispyChicken ClassicSandwich,7.5 oz(213 g),510,200,22,33,3.5,18,0,45,16,990,41,56,19,3,13,10,24,4,6,15,20
Premium GrilledChicken ClassicSandwich,7 oz(200 g),350,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Premium CrispyChicken ClubSandwich,8.4 oz(237 g),620,260,29,45,7,37,0,70,24,1200,50,57,19,3,14,11,31,8,6,30,20
Premium GrilledChicken ClubSandwich,7.9 oz(223 g),460,150,16,25,6,28,0,90,30,1030,43,43,14,3,13,9,35,8,8,30,20
Premium CrispyChicken RanchBLT Sandwich,7.6 oz(215 g),540,210,23,35,4.5,23,0,55,19,1170,49,56,19,3,13,11,27,4,6,15,20
Premium GrilledChicken RanchBLT Sandwich,7.1 oz(202 g),380,90,10,15,3,14,0,75,25,1000,42,42,14,3,13,9,31,4,8,15,20
Chipotle BBQSnack Wrap®(Crispy),4.1 oz(117 g),330,140,15,23,4.5,22,0,30,10,720,30,34,11,1,5,4,14,4,2,10,10
Chipotle BBQSnack Wrap®(Grilled),4.2 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
