Item,Serving Size,Calories,Calories From Fat,Total Fat (g),Total Fat % Daily Value,Saturated Fat (g),Saturated Fat % Daily Value,Trans Fat (g),Cholesterol (mg),Cholesterol % Daily Value,Sodium (mg),Sodium % Daily Value,Carbohydrates (g),Carbohydrates % Daily Value,Dietary Fiber (g),Dietary Fiber % Daily Value,Sugars (g),Protein (g),Vitamin A % Daily Value,Vitamin C % Daily Value,Calcium % Daily Value,Iron % Daily Value
Big Mac,7.6 oz(215 g),550,260,29,45,10,51,1,75,25,970,40,46,15,3,13,9,25,4,2,25,25
QuarterPounder® withCheese,7.1 oz(202 g),520,240,26,41,12,61,1.5,95,31,1100,46,41,14,3,11,10,30,10,2,30,25
Quarter PounderBLT,9.3 oz(265 g),640,310,35,53,14,68,1.5,110,36,1360,57,46,15,3,13,10,37,10,20,25,30
Quarter PounderBacon HabaneroRanch,8.3 oz(235 g),610,280,31,48,13,64,1.5,105,35,1180,49,46,15,3,14,10,37,8,20,25,30
Quarter PounderBacon &Cheese,8 oz(227 g),600,260,29,45,13,63,1.5,105,34,1440,60,48,16,3,12,12,37,6,15,25,30
Quarter PounderDeluxe,8.6 oz(244 g),540,250,27,42,11,54,1.5,85,28,960,40,45,15,3,13,9,29,10,8,25,30
Double QuarterPounder withCheese,10 oz(283 g),750,380,43,66,19,96,2.5,160,53,1280,53,42,14,3,11,10,48,10,2,30,35
Hamburger,3.5 oz(100 g),250,80,9,13,3.5,16,0.5,25,9,480,20,31,10,2,6,6,12,2,2,10,15
Cheeseburger,4 oz(114 g),300,110,12,19,6,28,0.5,40,14,680,29,33,11,2,7,7,15,6,2,20,15
Grilled OnionCheddar,4.1 oz(115 g),310,120,13,21,6,30,0.5,40,14,660,27,33,11,2,8,7,15,2,0,20,15
DoubleCheeseburger,5.8 oz(165 g),440,210,23,35,11,54,1.5,80,27,1050,44,34,11,2,8,7,25,8,2,30,20
McDouble,5.3 oz(151 g),390,170,19,29,8,42,1,65,22,850,35,33,11,2,7,7,23,6,2,20,20
Daily Double,6.8 oz(194 g),440,220,24,37,9,47,1.5,70,24,770,32,33,11,2,9,7,23,6,6,20,20
Premium CrispyChicken ClassicSandwich,7.5 oz(213 g),510,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,4,6,15,20
Premium GrilledChicken ClassicSandwich,7 oz(200 g),350,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Premium CrispyChicken ClubSandwich,8.8 oz(249 g),670,300,33,51,9,44,0,85,29,1410,59,58,19,3,14,11,36,8,20,30,20
Premium GrilledChicken ClubSandwich,8.3 oz(235 g),510,180,20,31,7,36,0,105,35,1250,52,44,15,3,13,9,40,8,20,30,20
Premium CrispyChicken RanchBLT Sandwich,8 oz(227 g),590,240,27,41,6,30,0,70,24,1380,57,57,19,3,13,11,32,4,20,15,20
Premium GrilledChicken RanchBLT Sandwich,7.5 oz(214 g),440,120,14,21,4,21,0,90,30,1210,50,43,14,3,13,9,36,4,20,15,20
McChicken,5.1 oz(143 g),360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Southern StyleCrispy ChickenSandwich,5.6 oz(159 g),420,170,19,28,3,15,0,45,14,900,38,43,14,2,7,7,21,2,2,15,15
Filet-O-Fish,5 oz(142 g),390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
PremiumMcWrap Chicken& Bacon (Crispy),9.5 oz(269 g),620,280,31,47,9,44,0.5,75,25,1490,62,54,18,3,10,6,32,10,20,15,20
PremiumMcWrap Chicken& Bacon (Grilled),9 oz(255 g),460,160,18,27,7,35,0,95,31,1330,55,40,13,3,10,4,35,10,20,15,20
PremiumMcWrap Chicken& Ranch (Crispy),9.9 oz(280 g),580,260,29,44,8,38,0.5,60,21,1290,54,55,18,3,11,7,26,10,10,15,20
PremiumMcWrap Chicken& Ranch (Grilled),9.4 oz(266 g),420,140,16,24,6,29,0,80,27,1130,47,41,14,3,11,5,30,10,15,15,20
PremiumMcWrap ChickenSweet Chili(Crispy),8.4 oz(239 g),520,200,22,34,4.5,22,0,45,15,1190,50,57,19,2,9,11,23,8,4,8,20
PremiumMcWrap ChickenSweet Chili(Grilled),8 oz(226 g),360,80,9,14,2.5,13,0,65,21,1030,43,43,14,2,9,9,26,8,6,8,20
Chipotle BBQSnack Wrap(Crispy),4.4 oz(124 g),330,130,15,22,4.5,22,0,30,11,750,31,34,11,1,5,6,14,4,0,10,10
Chipotle BBQSnack Wrap(Grilled),4.1 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey MustardSnack Wrap(Crispy),4.3 oz(123 g),330,130,15,23,4.5,22,0,35,11,730,30,34,11,1,5,3,14,2,0,10,10
Honey MustardSnack Wrap(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.4 oz(125 g),350,170,18,28,5,26,0,40,13,790,33,32,11,1,5,3,15,2,0,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,16,700,29,25,8,1,5,2,16,2,2,10,10
Mac SnackWrap,4.4 oz(125 g),330,170,19,29,7,34,1,45,15,670,28,26,9,1,5,3,14,2,0,8,15
McRib,7.3 oz(208 g),500,240,26,40,10,48,0,70,23,980,41,44,15,3,10,11,22,2,2,15,20
Chicken & Fish,,,,,,,,,,,,,,,,,,,,,,
Chicken2.3 ozMcNuggets® (4190110121821002593601512412090202(65 g)piece),,,,,,,,,,,,,,,,,,,,,,
Mighty Wings (3piece),3.3 oz(94 g),290,170,19,29,4,20,0,90,29,870,36,12,4,1,4,0,18,2,2,2,4
Premium CrispyChicken ClassicSandwich,7.5 oz(213 g),510,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,4,6,15,20
Premium GrilledChicken ClassicSandwich,7 oz(200 g),350,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Premium CrispyChicken ClubSandwich,8.8 oz(249 g),670,300,33,51,9,44,0,85,29,1410,59,58,19,3,14,11,36,8,20,30,20
Premium GrilledChicken ClubSandwich,8.3 oz(235 g),510,180,20,31,7,36,0,105,35,1250,52,44,15,3,13,9,40,8,20,30,20
Premium CrispyChicken RanchBLT Sandwich,8 oz(227 g),590,240,27,41,6,30,0,70,24,1380,57,57,19,3,13,11,32,4,20,15,20
Premium GrilledChicken RanchBLT Sandwich,7.5 oz(214 g),440,120,14,21,4,21,0,90,30,1210,50,43,14,3,13,9,36,4,20,15,20
McChicken,5.1 oz(143 g),360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Southern StyleCrispy ChickenSandwich,5.6 oz(159 g),420,170,19,28,3,15,0,45,14,900,38,43,14,2,7,7,21,2,2,15,15
Filet-O-Fish,5 oz(142 g),390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
PremiumMcWrap Chicken& Bacon (Crispy),9.5 oz(269 g),620,280,31,47,9,44,0.5,75,25,1490,62,54,18,3,10,6,32,10,20,15,20
